scheme_code,scheme_name,amc_name,manager_name,role,rank,start_date,end_date,source,source_type,source_url,confidence_score,predecessor_manager,successor_manager,event_type,notes,evidence_ids
101762,HDFC Flexi Cap Fund - Growth Plan,HDFC Mutual Fund,Prashant Jain,lead,1,2003-06-01,2022-06-30,curated_starter_seed,reputable_news,https://www.hdfcfund.com/news-room/prashant-jain-to-move-on-from-hdfc-amc,0.70,,Chirag Setalvad,manager_exit,"Well-known HDFC AMC CIO/fund manager exit; date/source should be reviewed before investment use.",
101762,HDFC Flexi Cap Fund - Growth Plan,HDFC Mutual Fund,Chirag Setalvad,lead,1,2022-07-01,,curated_starter_seed,reputable_news,https://www.hdfcfund.com/news-room/prashant-jain-to-move-on-from-hdfc-amc,0.70,Prashant Jain,,manager_join,"Successor/manager assignment included to make transition detectable; verify exact scheme role.",
100119,HDFC Balanced Advantage Fund - Growth Plan,HDFC Mutual Fund,Prashant Jain,lead,1,1994-02-01,2022-06-30,curated_starter_seed,reputable_news,https://www.hdfcfund.com/news-room/prashant-jain-to-move-on-from-hdfc-amc,0.70,,Gopal Agrawal,manager_exit,"Approximate start date based on long tenure narrative; review exact tenure before production use.",
100119,HDFC Balanced Advantage Fund - Growth Plan,HDFC Mutual Fund,Gopal Agrawal,lead,1,2022-07-01,,curated_starter_seed,reputable_news,https://www.hdfcfund.com/news-room/prashant-jain-to-move-on-from-hdfc-amc,0.70,Prashant Jain,,manager_join,"Successor/manager assignment included for starter workflow; verify exact scheme role.",
111862,IDFC Premier Equity Fund_Plan B - Growth,IDFC Mutual Fund,Kenneth Andrade,lead,1,2005-09-01,2015-09-30,curated_starter_seed,reputable_news,https://www.livemint.com/Money/HZnJbUyazXxf7GbCDYAsDL/Kenneth-Andrade-quits-IDFC-Mutual-Fund.html,0.70,,Anoop Bhaskar,manager_exit,"Historical IDFC Premier Equity transition; review exact end date and scheme lineage.",
111862,IDFC Premier Equity Fund_Plan B - Growth,IDFC Mutual Fund,Anoop Bhaskar,lead,1,2016-04-01,2023-08-31,curated_starter_seed,reputable_news,https://www.business-standard.com/finance/personal-finance/anoop-bhaskar-quits-idfc-amc-to-join-whiteoak-capital-mutual-fund-123083000741_1.html,0.70,Kenneth Andrade,,manager_exit,"Known later IDFC/Bandhan AMC exit; review exact scheme coverage.",
117560,Axis Focused Fund - Regular Plan - Growth Option,Axis Mutual Fund,Jinesh Gopani,lead,1,2012-06-01,2023-03-31,curated_starter_seed,reputable_news,https://www.moneycontrol.com/news/business/personal-finance/axis-mutual-fund-fund-manager-jinesh-gopani-resigns-10291701.html,0.70,,Ashish Naik,manager_exit,"Well-known Axis MF senior fund manager exit; exact scheme handoff should be verified.",
112323,Axis ELSS Tax Saver Fund - Regular Plan - Growth,Axis Mutual Fund,Jinesh Gopani,lead,1,2011-12-01,2023-03-31,curated_starter_seed,reputable_news,https://www.moneycontrol.com/news/business/personal-finance/axis-mutual-fund-fund-manager-jinesh-gopani-resigns-10291701.html,0.70,,Ashish Naik,manager_exit,"Starter row for known Axis manager exit; review exact scheme handoff.",
100668,UTI Flexi Cap Fund - Regular Plan - IDCW,UTI Mutual Fund,Vetri Subramaniam,lead,1,2017-01-01,2023-01-31,curated_starter_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/vetri-subramaniam-quits-uti-mutual-fund-11675079812255.html,0.70,,Ajay Tyagi,manager_exit,"Known UTI CIO/fund manager exit; verify scheme-specific manager dates.",
103098,UTI Value Fund - Regular Plan - Growth Option,UTI Mutual Fund,Vetri Subramaniam,lead,1,2017-01-01,2023-01-31,curated_starter_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/vetri-subramaniam-quits-uti-mutual-fund-11675079812255.html,0.70,,Ajay Tyagi,manager_exit,"Starter row for UTI value/flexi transition; review exact role.",
102594,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Growth,ICICI Prudential Mutual Fund,Sankaran Naren,lead,1,2004-08-01,,curated_starter_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,"Long-tenure reference row for value strategy; not an exit event. Verify current role/source.",
107578,Mirae Asset Large Cap Fund - Growth Plan,Mirae Asset Mutual Fund,Neelesh Surana,lead,1,2008-05-01,,curated_starter_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,"Long-tenure reference row for manager profile testing; verify current role/source.",
120751,UTI Value Fund - Direct Plan - Growth Option,UTI Mutual Fund,Ajay Tyagi,lead,1,2023-02-01,,curated_starter_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/vetri-subramaniam-quits-uti-mutual-fund-11675079812255.html,0.60,Vetri Subramaniam,,manager_join,"Successor row for starter workflow; verify exact mandate/role.",
120468,Axis Focused Fund - Direct Plan - Growth Option,Axis Mutual Fund,Ashish Naik,lead,1,2023-04-01,,curated_starter_seed,reputable_news,https://www.moneycontrol.com/news/business/personal-finance/axis-mutual-fund-fund-manager-jinesh-gopani-resigns-10291701.html,0.60,Jinesh Gopani,,manager_join,"Successor row for starter workflow; verify exact mandate/role.",
