factor_date,annual_yield,source_note
2010-01-31,0.0450,curated_backstop_monthly_anchor_review_before_production
2011-01-31,0.0720,curated_backstop_monthly_anchor_review_before_production
2012-01-31,0.0830,curated_backstop_monthly_anchor_review_before_production
2013-01-31,0.0800,curated_backstop_monthly_anchor_review_before_production
2014-01-31,0.0880,curated_backstop_monthly_anchor_review_before_production
2015-01-31,0.0800,curated_backstop_monthly_anchor_review_before_production
2016-01-31,0.0700,curated_backstop_monthly_anchor_review_before_production
2017-01-31,0.0620,curated_backstop_monthly_anchor_review_before_production
2018-01-31,0.0630,curated_backstop_monthly_anchor_review_before_production
2019-01-31,0.0650,curated_backstop_monthly_anchor_review_before_production
2020-01-31,0.0520,curated_backstop_monthly_anchor_review_before_production
2021-01-31,0.0340,curated_backstop_monthly_anchor_review_before_production
2022-01-31,0.0400,curated_backstop_monthly_anchor_review_before_production
2023-01-31,0.0660,curated_backstop_monthly_anchor_review_before_production
2024-01-31,0.0690,curated_backstop_monthly_anchor_review_before_production
2025-01-31,0.0650,curated_backstop_monthly_anchor_review_before_production
2026-01-31,0.0550,curated_backstop_monthly_anchor_review_before_production
