scheme_code,scheme_name,amc_name,manager_name,role,rank,start_date,end_date,source,source_type,source_url,confidence_score,predecessor_manager,successor_manager,event_type,notes,evidence_ids
119364,SBI Bluechip Fund - Direct Plan - Growth,SBI Funds Management,Sohini Andani,lead,1,2010-10-01,2023-09-30,expanded_seed,reputable_news,https://www.moneycontrol.com/news/business/mutual-funds/sbi-mutual-fund-star-fund-manager-sohini-andani-resigns-11406641.html,0.70,,Mohit Jain,manager_exit,SBI MF star fund manager resignation; major transition event.,
119364,SBI Bluechip Fund - Direct Plan - Growth,SBI Funds Management,Mohit Jain,lead,1,2023-10-01,,expanded_seed,reputable_news,https://www.moneycontrol.com/news/business/mutual-funds/sbi-mutual-fund-star-fund-manager-sohini-andani-resigns-11406641.html,0.60,Sohini Andani,,manager_join,Successor to Sohini Andani at SBI Bluechip.,
104174,SBI Contra Fund - Direct Plan - Growth,SBI Funds Management,Dinesh Balachandran,lead,1,2018-05-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Long-running contrarian value fund manager at SBI.,
120587,SBI Equity Hybrid Fund - Direct Plan - Growth,SBI Funds Management,R Srinivasan,lead,1,2015-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Experienced SBI MF hybrid equity manager.,
120503,SBI Small Cap Fund - Direct Plan - Growth,SBI Funds Management,R Srinivasan,lead,1,2013-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,R Srinivasan managing SBI small cap for over a decade.,
120178,Kotak Flexi Cap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Harsha Upadhyaya,lead,1,2012-06-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Senior Kotak MF equity head; long tenure.,
120175,Kotak Emerging Equity Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Pankaj Tibrewal,lead,1,2013-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Pankaj Tibrewal is a known mid/small-cap specialist at Kotak.,
120180,Kotak Small Cap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Pankaj Tibrewal,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Pankaj Tibrewal also manages Kotak Small Cap.,
119775,ICICI Pru Bluechip Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Anish Tawakley,lead,1,2021-06-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,ICICI Pru Bluechip currently managed by Anish Tawakley.,
119781,ICICI Pru Midcap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Mittul Kalawadia,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,ICICI Prudential mid-cap fund manager.,
119597,ICICI Pru Value Discovery Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Sankaran Naren,lead,1,2004-08-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Legendary value investor at ICICI Prudential; very long tenure.,
